uid,gender,age,buy,student,city,bin_age,bin_buy
85,0,0,0,0,0,0,0
86,0,3,1,1,0,1,1
87,0,0,1,0,2,0,1
88,1,3,1,1,3,1,1
89,1,2,1,1,2,1,1
90,0,4,1,0,0,0,1
91,0,3,1,1,0,1,1
92,0,2,1,1,0,1,1
93,0,0,1,1,0,0,1
94,1,4,0,1,0,0,0
95,0,0,0,0,0,0,0
96,0,5,1,1,3,0,1
97,0,5,0,1,2,0,0
98,0,2,0,1,3,1,0
99,0,2,1,1,0,1,1
100,1,3,1,1,1,1,1
101,0,4,1,1,0,0,1
102,0,0,0,0,0,0,0
103,1,4,1,1,0,0,1
104,0,4,0,1,0,0,0
105,0,0,1,1,1,0,1
106,0,3,0,1,0,1,0
107,0,4,0,1,3,0,0
108,0,0,1,0,2,0,1
109,0,4,0,1,0,0,0
110,1,3,0,1,0,1,0
111,0,4,1,1,0,0,1
112,0,3,1,1,0,1,1
113,1,5,0,0,0,0,0
114,0,3,1,1,0,1,1
115,0,3,1,1,0,1,1
116,0,0,1,1,0,0,1
117,0,4,1,1,2,0,1
118,0,0,1,0,0,0,1
119,0,4,0,1,1,0,0
120,0,0,1,1,0,0,1
121,1,4,1,1,0,0,1
122,0,0,1,1,3,0,1
123,0,3,1,1,2,1,1
124,0,2,1,1,0,1,1
125,1,4,1,1,0,0,1
126,1,3,0,1,2,1,0
127,0,0,0,1,2,0,0
128,1,0,1,1,0,0,1
129,0,3,0,1,1,1,0
130,0,2,1,1,3,1,1
131,1,2,2,1,0,1,1
132,0,3,1,1,0,1,1
133,0,2,1,1,3,1,1
134,0,4,1,1,0,0,1
135,0,5,0,1,0,0,0
136,1,3,1,1,0,1,1
137,0,0,0,1,0,0,0
138,0,3,1,1,3,1,1
139,0,2,0,1,3,1,0
140,0,0,1,1,2,0,1
141,1,5,0,1,0,0,0
142,0,5,1,1,3,0,1
143,0,2,2,1,2,1,1
144,1,3,0,1,2,1,0
145,0,0,0,0,3,0,0
146,0,0,1,0,0,0,1
147,0,0,1,1,3,0,1
148,1,0,1,1,0,0,1
149,0,2,0,1,2,1,0
150,1,4,1,1,3,0,1
151,0,0,1,1,0,0,1
152,0,4,0,1,1,0,0
153,0,3,0,1,0,1,0
154,0,0,1,1,0,0,1
155,1,3,1,1,0,1,1
156,0,3,0,1,2,1,0
157,0,4,1,1,0,0,1
158,0,2,0,1,0,1,0
159,1,3,0,1,3,1,0
160,0,0,1,1,1,0,1
161,1,0,1,0,0,0,1
162,1,4,2,1,0,0,1
163,1,0,1,1,2,0,1
164,0,3,1,1,2,1,1
165,0,2,1,1,2,1,1
166,1,3,0,1,3,1,0
167,0,0,0,1,3,0,0
168,0,2,2,1,0,1,1
169,0,0,1,1,0,0,1
170,0,2,0,1,2,1,0
171,0,0,0,0,3,0,0
172,0,2,1,1,0,1,1
173,0,4,0,1,2,0,0
174,0,4,1,1,0,0,1
175,0,4,1,1,3,0,1
176,0,5,0,1,2,0,0
177,0,3,1,1,3,1,1
178,0,2,1,1,1,1,1
179,0,4,0,1,3,0,0
180,1,2,0,1,3,1,0
181,0,3,0,1,2,1,0
182,0,2,0,1,0,1,0
183,1,3,0,1,2,1,0
184,0,2,1,1,0,1,1
185,0,4,1,1,2,0,1
186,0,3,1,1,2,1,1
187,1,4,1,1,0,0,1
188,1,3,1,1,0,1,1
189,0,3,1,1,0,1,1
190,0,4,0,1,0,0,0
191,0,3,0,1,0,1,0
192,0,3,1,1,1,1,1
193,1,0,0,0,0,0,0
194,0,3,1,1,2,1,1
195,0,3,1,1,0,1,1
196,0,3,0,1,2,1,0
197,0,3,1,1,0,1,1
198,1,4,1,1,0,0,1
199,1,4,1,1,3,0,1
200,0,2,1,1,3,1,1
201,0,4,1,1,1,0,1
202,1,2,0,1,2,1,0
203,0,3,1,1,2,1,1
204,0,4,1,1,3,0,1
205,0,5,0,1,3,0,0
206,0,4,1,1,0,0,1
207,0,0,1,1,2,0,1
208,0,0,1,1,3,0,1
209,0,4,2,1,1,0,1
210,1,4,1,1,2,0,1
211,0,4,1,1,0,0,1
212,0,4,1,1,2,0,1
213,0,2,1,1,0,1,1
214,0,2,1,1,1,1,1
215,0,4,0,1,0,0,0
216,0,4,0,1,1,0,0
217,0,4,0,1,0,0,0
218,0,2,1,1,0,1,1
219,0,2,0,1,3,1,0
220,1,4,0,1,0,0,0
221,0,4,0,1,2,0,0
222,0,5,0,1,2,0,0
223,0,2,1,1,2,1,1
224,1,3,0,1,0,1,0
225,0,4,1,1,2,0,1
226,0,0,0,1,0,0,0
227,0,4,1,1,3,0,1
228,0,2,2,1,1,1,1
229,0,3,1,1,0,1,1
230,0,2,1,1,3,1,1
231,0,2,1,1,2,1,1
232,1,3,1,1,3,1,1
233,0,0,0,1,3,0,0
234,0,5,1,1,1,0,1
235,0,0,1,1,3,0,1
236,0,0,1,1,2,0,1
237,0,4,1,1,0,0,1
238,0,4,1,1,2,0,1
239,0,0,0,1,0,0,0
240,0,4,1,1,0,0,1
241,1,3,1,1,3,1,1
242,0,5,0,1,2,0,0
243,0,5,0,1,0,0,0
244,0,4,1,0,0,0,1
245,1,4,0,1,0,0,0
246,0,3,0,1,1,1,0
247,0,4,1,1,3,0,1
248,0,2,1,1,3,1,1
249,0,4,1,1,0,0,1
250,0,0,0,0,3,0,0
251,0,0,0,1,3,0,0
252,0,4,1,1,3,0,1
253,0,0,0,1,3,0,0
254,0,2,1,1,3,1,1
255,0,4,1,1,0,0,1
256,0,4,1,1,0,0,1
257,0,2,1,1,3,1,1
258,1,4,1,1,1,0,1
259,0,0,1,0,3,0,1
260,0,3,0,1,2,1,0
261,1,2,1,1,2,1,1
262,0,2,1,1,3,1,1
263,0,3,1,1,1,1,1
264,0,4,1,1,2,0,1
265,0,2,2,1,3,1,1
266,0,3,2,1,0,1,1
267,0,4,0,1,2,0,0
268,0,3,1,1,0,1,1
269,0,4,0,1,0,0,0
270,0,4,1,1,3,0,1
271,0,4,0,1,2,0,0
272,0,2,0,1,2,1,0
273,0,0,1,0,0,0,1
274,0,3,1,1,0,1,1
275,0,4,0,1,2,0,0
276,0,2,0,1,0,1,0
277,0,5,0,1,3,0,0
278,0,0,1,1,2,0,1
279,0,0,0,1,1,0,0
280,0,4,0,1,0,0,0
281,0,3,1,1,3,1,1
282,0,4,1,1,3,0,1
283,0,0,0,1,1,0,0
284,0,3,1,1,0,1,1
285,0,2,0,1,0,1,0
286,0,3,1,1,0,1,1
287,0,2,1,1,0,1,1
288,1,0,1,1,0,0,1
289,1,4,1,1,2,0,1
290,1,3,0,1,2,1,0
291,0,4,1,1,0,0,1
292,1,3,2,1,0,1,1
293,0,5,0,1,2,0,0
294,0,4,0,1,2,0,0
295,0,2,1,1,0,1,1
296,0,2,1,1,2,1,1
297,1,4,0,1,0,0,0
298,0,4,1,1,0,0,1
299,0,4,1,1,2,0,1
300,0,4,1,1,3,0,1
301,0,4,0,1,3,0,0
302,0,5,0,1,3,0,0
303,0,5,0,1,3,0,0
304,0,3,1,1,0,1,1
305,0,0,0,1,2,0,0
306,0,0,0,1,1,0,0
307,1,0,0,1,3,0,0
308,1,0,1,0,2,0,1
309,0,3,1,1,2,1,1
310,0,0,0,1,3,0,0
311,0,0,0,0,0,0,0
312,0,0,0,0,2,0,0
313,1,2,0,1,0,1,0
314,0,4,0,1,2,0,0
315,1,3,1,1,3,1,1
316,0,3,1,1,3,1,1
317,0,3,1,1,0,1,1
318,1,2,0,1,3,1,0
319,0,4,0,1,1,0,0
320,0,0,1,1,3,0,1
321,0,3,0,1,3,1,0
322,0,1,0,1,1,1,0
323,1,2,0,1,2,1,0
324,1,1,1,1,1,1,1
325,0,2,2,1,1,1,1
326,0,4,1,1,0,0,1
327,1,0,1,1,0,0,1
328,0,1,1,1,3,1,1
329,1,4,1,1,0,0,1
330,0,3,0,1,0,1,0
331,0,4,1,1,0,0,1
332,1,4,1,1,3,0,1
333,1,0,0,1,2,0,0
334,0,0,1,1,1,0,1
335,0,2,1,1,0,1,1
336,0,2,2,1,0,1,1
337,0,1,1,1,0,1,1
338,0,3,1,1,0,1,1
339,1,0,1,1,3,0,1
340,1,4,0,1,2,0,0
341,0,3,2,1,3,1,1
342,1,3,1,1,0,1,1
343,0,2,1,1,3,1,1
344,0,4,1,1,3,0,1
345,0,2,1,1,3,1,1
346,0,0,1,1,0,0,1
347,1,4,1,1,1,0,1
348,0,4,1,1,0,0,1
349,0,3,1,1,1,1,1
350,0,0,1,1,0,0,1
351,0,0,0,0,0,0,0
352,0,0,1,1,2,0,1
353,0,4,1,1,0,0,1
354,0,3,1,1,0,1,1
355,0,3,1,1,0,1,1
356,0,1,2,1,0,1,1
357,0,4,1,1,0,0,1
358,0,3,0,1,1,1,0
359,0,3,1,1,3,1,1
360,0,2,1,1,1,1,1
361,0,0,1,1,3,0,1
362,0,4,1,1,3,0,1
363,0,2,1,1,2,1,1
364,1,4,1,1,0,0,1
365,0,2,0,1,0,1,0
366,0,0,1,1,3,0,1
367,0,4,1,1,3,0,1
368,0,4,1,1,2,0,1
369,0,0,0,0,0,0,0
370,0,3,0,1,0,1,0
371,0,3,1,1,0,1,1
372,0,3,2,1,0,1,1
373,0,5,0,1,3,0,0
374,1,4,1,1,3,0,1
375,1,3,1,1,3,1,1
376,1,2,1,1,3,1,1
377,0,4,1,1,0,0,1
378,0,4,1,1,3,0,1
379,1,3,0,1,2,1,0
380,0,3,1,1,3,1,1
381,0,2,1,1,1,1,1
382,0,4,0,1,0,0,0
383,0,2,2,1,3,1,1
384,1,4,0,1,0,0,0
385,1,3,1,1,2,1,1
386,0,2,2,1,0,1,1
387,1,4,2,1,0,0,1
388,0,0,0,1,1,0,0
389,0,0,1,1,0,0,1
390,0,0,1,1,0,0,1
391,1,3,1,1,0,1,1
392,0,4,1,1,3,0,1
393,0,2,1,1,3,1,1
394,0,2,1,1,0,1,1
395,1,2,0,1,2,1,0
396,0,3,0,1,2,1,0
397,0,0,1,0,0,0,1
398,0,3,0,1,2,1,0
399,0,2,1,1,0,1,1
400,1,2,1,1,2,1,1
401,0,4,1,1,1,0,1
402,0,3,1,1,0,1,1
403,0,4,1,1,2,0,1
404,1,3,2,1,0,1,1
405,1,4,1,1,0,0,1
406,0,3,1,1,2,1,1
407,0,3,0,1,0,1,0
408,0,2,0,1,2,1,0
409,0,3,1,1,0,1,1
410,0,3,1,1,0,1,1
411,0,3,2,1,0,1,1
412,0,2,0,1,0,1,0
413,1,3,2,1,1,1,1
414,0,0,1,1,2,0,1
415,1,3,2,1,0,1,1
416,0,4,1,1,0,0,1
417,0,4,1,1,0,0,1
418,0,3,1,1,0,1,1
419,1,2,2,1,3,1,1
420,1,3,1,1,3,1,1
421,0,4,1,1,0,0,1
422,1,3,2,1,3,1,1
423,0,0,1,1,2,0,1
424,0,2,1,1,2,1,1
425,0,0,0,1,2,0,0
426,1,0,0,1,3,0,0
427,0,2,1,1,0,1,1
428,0,4,1,1,2,0,1
429,0,4,1,1,1,0,1
430,0,4,1,1,1,0,1
431,0,4,0,1,0,0,0
432,0,4,1,1,3,0,1
433,0,4,1,1,1,0,1
434,1,2,1,1,2,1,1
435,0,0,1,1,1,0,1
436,0,2,0,1,3,1,0
437,0,5,1,1,3,0,1
438,1,3,1,1,1,1,1
439,0,0,0,1,0,0,0
440,0,2,1,1,3,1,1
441,0,0,0,0,0,0,0
442,0,0,1,1,3,0,1
443,0,0,1,1,1,0,1
444,1,0,1,1,0,0,1
445,0,0,1,1,3,0,1
446,0,4,1,1,2,0,1
447,0,3,0,1,3,1,0
448,0,4,0,0,0,0,0
449,1,3,1,1,3,1,1
450,0,3,2,1,2,1,1
451,1,4,2,1,2,0,1
452,0,4,2,1,1,0,1
453,0,4,0,1,2,0,0
454,0,4,1,1,0,0,1
455,0,4,1,1,2,0,1
456,0,4,1,1,0,0,1
457,0,2,1,1,1,1,1
458,1,2,1,1,3,1,1
459,0,4,1,1,1,0,1
460,0,0,1,1,1,0,1
461,0,3,0,1,0,1,0
462,0,0,0,1,0,0,0
463,0,4,0,1,1,0,0
464,0,3,1,1,2,1,1
465,1,5,1,1,0,0,1
466,0,0,0,1,3,0,0
467,0,3,1,1,2,1,1
468,0,1,2,1,1,1,1
469,1,3,1,1,0,1,1
470,0,0,0,1,3,0,0
471,0,3,1,1,3,1,1
472,0,3,0,1,1,1,0
473,0,4,0,1,0,0,0
474,1,0,0,1,0,0,0
475,0,4,1,1,2,0,1
476,0,2,1,1,0,1,1
477,0,2,2,1,3,1,1
478,0,3,1,1,0,1,1
479,0,3,1,1,2,1,1
480,0,4,1,1,0,0,1
481,0,4,1,1,3,0,1
482,0,4,1,1,1,0,1
483,0,2,1,1,0,1,1
484,0,2,1,1,0,1,1
485,0,3,0,1,3,1,0
486,0,4,1,1,0,0,1
487,0,0,1,1,2,0,1
488,0,3,1,1,0,1,1
489,0,4,0,1,2,0,0
490,0,4,1,1,3,0,1
491,0,4,1,1,3,0,1
492,0,5,1,1,0,0,1
493,0,4,0,1,2,0,0
494,0,0,0,1,2,0,0
495,0,3,1,1,3,1,1
496,1,3,2,1,3,1,1
497,0,3,0,1,0,1,0
498,0,0,1,1,3,0,1
499,0,2,1,1,2,1,1
500,0,3,0,1,3,1,0
501,0,0,0,0,3,0,0
502,0,4,1,1,0,0,1
503,0,3,1,1,3,1,1
504,0,2,1,1,3,1,1
505,0,3,0,1,2,1,0
506,0,3,1,1,2,1,1
507,0,5,0,1,0,0,0
508,0,4,1,1,0,0,1
509,1,5,1,1,0,0,1
510,0,0,1,1,0,0,1
511,0,4,1,1,0,0,1
512,0,3,1,1,0,1,1
513,0,3,1,1,2,1,1
514,1,4,1,1,2,0,1
515,0,2,1,1,0,1,1
516,1,3,1,1,1,1,1
517,1,1,1,1,2,1,1
518,0,3,1,1,0,1,1
519,1,4,0,1,2,0,0
520,0,2,1,1,0,1,1
521,0,0,0,1,3,0,0
522,0,3,0,1,2,1,0
523,1,4,1,1,3,0,1
524,0,4,1,1,2,0,1
525,0,3,1,1,3,1,1
526,1,3,1,1,2,1,1
527,0,3,1,1,0,1,1
528,0,4,1,1,0,0,1
529,0,3,0,1,3,1,0
530,0,0,0,1,0,0,0
531,1,2,0,1,2,1,0
532,0,2,0,1,0,1,0
533,0,0,1,1,0,0,1
534,0,2,0,1,3,1,0
535,0,4,0,0,3,0,0
536,0,3,2,1,3,1,1
537,1,3,0,1,3,1,0
538,0,4,1,1,0,0,1
539,0,0,1,0,0,0,1
540,1,1,0,1,3,1,0
541,0,2,0,1,0,1,0
542,1,0,1,1,2,0,1
543,1,3,0,1,2,1,0
544,1,4,1,1,3,0,1
545,0,3,0,1,1,1,0
546,0,3,1,1,0,1,1
547,0,4,1,1,0,0,1
548,0,0,0,1,1,0,0
549,0,3,1,1,3,1,1
550,1,4,0,0,1,0,0
551,0,4,1,1,0,0,1
552,0,0,0,0,0,0,0
553,0,4,1,1,0,0,1
554,1,3,0,1,3,1,0
555,0,2,1,1,0,1,1
556,1,4,0,1,2,0,0
557,0,1,2,1,0,1,1
558,0,0,0,1,2,0,0
559,0,0,2,1,0,0,1
560,0,4,1,1,0,0,1
561,1,4,1,1,1,0,1
562,1,0,1,0,0,0,1
563,0,4,2,1,1,0,1
564,0,5,0,1,3,0,0
565,0,0,0,1,0,0,0
566,0,3,1,1,0,1,1
567,1,0,2,1,1,0,1
568,0,0,1,0,0,0,1
569,0,3,1,1,2,1,1
570,0,0,1,1,1,0,1
571,0,0,1,1,2,0,1
572,1,0,1,0,0,0,1
573,1,2,0,1,0,1,0
574,1,3,1,1,3,1,1
575,0,2,1,1,3,1,1
576,0,0,0,0,0,0,0
577,1,2,2,1,0,1,1
578,0,4,1,1,1,0,1
579,0,0,0,1,0,0,0
580,0,2,1,1,0,1,1
581,0,4,1,1,2,0,1
582,0,2,0,1,0,1,0
583,0,0,1,1,0,0,1
584,0,4,1,1,0,0,1
585,0,5,0,1,3,0,0
586,0,5,0,1,3,0,0
587,0,0,1,1,0,0,1
588,1,0,0,1,2,0,0
589,0,4,1,0,0,0,1
590,1,3,0,1,0,1,0
591,0,0,1,0,3,0,1
592,0,4,1,1,0,0,1
593,0,4,1,1,0,0,1
594,1,4,0,1,2,0,0
595,0,4,1,1,3,0,1
596,0,0,0,1,0,0,0
597,0,2,0,1,0,1,0
598,1,3,1,1,0,1,1
599,0,4,1,1,0,0,1
600,0,4,1,1,0,0,1
601,0,3,1,1,0,1,1
602,0,2,0,1,2,1,0
603,0,0,1,1,3,0,1
604,1,3,0,1,3,1,0
605,1,4,0,1,0,0,0
606,0,5,1,1,3,0,1
607,0,4,0,1,0,0,0
608,0,0,0,0,1,0,0
609,1,3,0,1,0,1,0
610,1,2,0,1,2,1,0
611,0,4,1,1,3,0,1
612,0,0,0,0,1,0,0
613,0,2,1,1,2,1,1
614,0,2,1,1,2,1,1
615,0,3,0,1,0,1,0
616,0,4,1,1,0,0,1
617,0,2,1,1,0,1,1
618,0,4,1,1,3,0,1
619,0,0,1,1,3,0,1
620,0,2,1,1,0,1,1
621,0,3,1,1,3,1,1
622,0,3,0,1,3,1,0
623,0,0,1,0,3,0,1
624,0,0,0,1,0,0,0
625,0,4,1,1,0,0,1
626,0,4,1,1,2,0,1
627,0,0,1,1,3,0,1
628,0,4,0,1,2,0,0
629,0,0,0,1,0,0,0
630,0,3,1,1,0,1,1
631,0,5,0,1,0,0,0
632,0,2,1,1,0,1,1
633,1,3,1,1,3,1,1
634,0,2,1,1,0,1,1
635,0,0,0,0,2,0,0
636,1,4,1,1,0,0,1
637,1,5,1,1,0,0,1
638,0,3,1,1,2,1,1
639,0,4,1,1,0,0,1
640,0,3,1,1,0,1,1
641,1,4,1,1,0,0,1
642,1,0,2,1,0,0,1
643,0,0,0,1,0,0,0
644,0,2,2,1,1,1,1
645,0,0,1,1,3,0,1
646,0,3,1,1,0,1,1
647,0,4,0,1,3,0,0
648,1,0,1,1,0,0,1
649,1,4,0,1,2,0,0
650,0,0,1,1,1,0,1
651,0,2,1,1,3,1,1
652,0,3,1,1,3,1,1
653,0,4,1,1,0,0,1
654,1,4,1,1,0,0,1
655,0,0,0,1,0,0,0
656,1,3,2,1,0,1,1
657,0,4,1,1,3,0,1
658,0,3,1,1,3,1,1
659,0,2,1,1,0,1,1
660,0,4,1,1,0,0,1
661,0,3,1,1,3,1,1
662,0,4,1,1,2,0,1
663,0,4,1,0,0,0,1
664,1,5,1,1,3,0,1
665,0,2,1,1,3,1,1
666,1,2,1,1,0,1,1
667,0,0,0,0,0,0,0
668,0,0,0,1,3,0,0
669,0,4,0,1,3,0,0
670,0,0,1,0,3,0,1
671,1,4,1,1,3,0,1
672,0,0,0,1,3,0,0
673,0,4,0,1,3,0,0
674,0,0,0,1,2,0,0
675,1,4,0,1,3,0,0
676,1,0,1,1,0,0,1
677,0,4,1,1,0,0,1
678,0,3,0,1,2,1,0
679,1,3,1,1,3,1,1
680,0,4,1,1,0,0,1
681,0,0,0,1,0,0,0
682,0,0,1,1,0,0,1
683,0,4,0,1,3,0,0
684,0,4,1,1,0,0,1
685,0,4,1,1,0,0,1
686,0,0,1,1,1,0,1
687,0,3,1,1,2,1,1
688,0,4,0,1,1,0,0
689,0,4,2,1,0,0,1
690,0,0,1,1,1,0,1
691,0,0,1,1,3,0,1
692,0,2,1,1,2,1,1
693,0,4,0,1,2,0,0
694,0,4,1,1,3,0,1
695,0,4,1,1,3,0,1
696,1,3,1,1,2,1,1
697,1,4,1,1,0,0,1
698,1,4,0,1,1,0,0
699,0,2,1,1,2,1,1
700,1,3,1,1,2,1,1
701,0,5,0,1,0,0,0
702,0,3,0,1,2,1,0
703,0,4,1,1,3,0,1
704,0,5,0,0,3,0,0
705,0,0,0,1,3,0,0
706,1,3,0,1,2,1,0
707,0,3,1,1,0,1,1
708,0,3,1,1,3,1,1
709,0,4,1,1,2,0,1
710,0,4,1,1,3,0,1
711,0,1,0,1,0,1,0
712,1,3,0,1,1,1,0
713,1,5,1,1,0,0,1
714,0,2,1,1,0,1,1
715,0,0,0,1,0,0,0
716,0,4,0,1,3,0,0
717,0,4,1,1,2,0,1
718,1,0,2,1,1,0,1
719,0,4,2,1,0,0,1
720,0,5,1,1,1,0,1
721,0,4,1,0,0,0,1
722,0,3,0,1,0,1,0
723,1,4,0,1,0,0,0
724,0,0,0,0,3,0,0
725,0,0,1,1,0,0,1
726,0,4,0,1,2,0,0
727,0,3,1,1,0,1,1
728,0,2,1,1,0,1,1
729,0,3,1,1,0,1,1
730,0,2,2,1,0,1,1
731,0,4,1,1,3,0,1
732,0,0,1,1,0,0,1
733,0,0,1,0,2,0,1
734,1,0,1,1,0,0,1
735,0,0,0,0,3,0,0
736,0,3,1,1,3,1,1
737,0,3,1,1,2,1,1
738,1,1,1,1,2,1,1
739,0,4,0,1,0,0,0
740,1,2,1,1,2,1,1
741,0,4,1,1,2,0,1
742,0,0,1,1,0,0,1
743,1,3,1,1,1,1,1
744,1,2,1,1,0,1,1
745,0,5,0,1,3,0,0
746,0,0,1,0,3,0,1
747,0,3,1,1,0,1,1
748,0,4,0,1,3,0,0
749,0,4,0,1,1,0,0
750,1,3,2,1,2,1,1
751,1,5,1,1,0,0,1
752,0,3,0,1,3,1,0
753,1,4,0,1,2,0,0
754,0,4,0,1,2,0,0
755,1,0,0,0,2,0,0
756,0,3,1,1,1,1,1
757,0,0,1,1,0,0,1
758,0,5,0,1,3,0,0
759,1,0,1,1,0,0,1
760,1,2,1,1,3,1,1
761,0,3,1,1,2,1,1
762,0,4,1,0,0,0,1
763,0,2,1,1,0,1,1
764,0,3,1,1,1,1,1
765,0,2,1,1,3,1,1
766,0,4,1,1,3,0,1
767,0,4,0,1,2,0,0
768,1,4,1,1,2,0,1
769,0,0,0,1,3,0,0
770,1,3,0,1,0,1,0
771,0,3,0,1,1,1,0
772,1,0,1,1,0,0,1
773,0,2,0,1,1,1,0
774,0,5,0,0,3,0,0
775,0,4,1,1,3,0,1
776,0,4,1,1,2,0,1
777,0,4,1,1,0,0,1
778,0,3,1,1,3,1,1
779,0,4,1,1,0,0,1
780,0,2,1,1,1,1,1
781,0,4,1,1,3,0,1
782,1,0,1,1,0,0,1
783,0,3,0,1,0,1,0
784,0,3,1,1,0,1,1
785,1,3,1,1,0,1,1
786,1,3,0,1,2,1,0
787,1,0,0,0,3,0,0
788,0,0,0,0,0,0,0
789,0,2,1,1,0,1,1
790,0,4,1,1,0,0,1
791,1,3,0,1,3,1,0
792,1,4,2,1,0,0,1
793,1,2,2,1,0,1,1
794,0,2,0,1,3,1,0
795,0,3,0,1,2,1,0
796,1,3,1,1,2,1,1
797,0,4,1,1,3,0,1
798,1,2,1,1,3,1,1
799,0,3,1,1,3,1,1
800,1,4,0,1,1,0,0
801,0,5,0,1,3,0,0
802,0,4,1,1,0,0,1
803,1,5,0,1,0,0,0
804,0,2,1,1,2,1,1
805,0,3,1,1,0,1,1
806,1,3,1,1,3,1,1
807,0,5,0,1,3,0,0
808,0,0,1,0,2,0,1
809,0,4,1,1,1,0,1
810,1,2,0,1,0,1,0
811,0,4,1,1,0,0,1
812,0,4,1,1,3,0,1
813,0,3,0,1,0,1,0
814,0,3,1,1,0,1,1
815,0,4,1,1,0,0,1
816,0,4,1,1,2,0,1
817,0,4,1,1,0,0,1
818,1,2,0,1,0,1,0
819,0,3,1,1,2,1,1
820,0,2,1,1,3,1,1
821,1,4,1,1,1,0,1
822,0,4,1,1,0,0,1
823,0,2,1,1,0,1,1
824,1,2,1,1,0,1,1
825,0,4,1,1,0,0,1
826,0,0,0,1,0,0,0
827,0,4,1,1,3,0,1
828,0,2,1,1,0,1,1
829,0,0,1,1,2,0,1
830,0,4,0,1,3,0,0
831,0,0,0,1,1,0,0
832,0,1,1,1,1,1,1
833,1,0,1,1,0,0,1
834,0,3,1,1,2,1,1
835,1,4,1,1,3,0,1
836,0,4,1,1,0,0,1
837,1,2,1,1,3,1,1
838,1,3,1,1,3,1,1
839,1,4,1,1,0,0,1
840,0,5,0,1,0,0,0
841,0,4,1,1,2,0,1
842,0,4,1,1,3,0,1
843,0,2,1,1,0,1,1
844,1,3,0,1,2,1,0
845,0,4,1,1,3,0,1
846,0,3,0,1,0,1,0
847,1,5,0,1,2,0,0
848,1,4,1,1,1,0,1
849,1,4,1,1,0,0,1
850,0,2,0,1,0,1,0
851,1,4,1,1,0,0,1
852,0,2,2,1,3,1,1
853,0,4,1,1,1,0,1
854,0,3,1,1,3,1,1
855,0,0,1,1,0,0,1
856,0,4,1,1,0,0,1
857,0,0,1,0,1,0,1
858,1,2,1,1,2,1,1
859,0,4,1,1,0,0,1
860,1,4,1,1,2,0,1
861,0,3,2,1,1,1,1
862,0,2,1,1,0,1,1
863,0,5,1,1,3,0,1
864,1,0,0,1,0,0,0
865,1,3,2,1,3,1,1
866,0,3,1,1,1,1,1
867,0,3,0,1,0,1,0
868,0,0,0,1,2,0,0
869,0,4,0,1,1,0,0
870,1,4,0,1,2,0,0
